,week,wins,total_bets,win_perc,overall_win_perc
1,1.0,8.0,12.0,0.6666666666666666,0.6666666666666666
2,2.0,3.0,6.0,0.5,0.5833333333333333
3,3.0,7.0,11.0,0.6363636363636364,0.6010101010101009
4,4.0,7.0,9.0,0.7777777777777778,0.6452020202020201
5,5.0,7.0,12.0,0.5833333333333334,0.6328282828282827
6,6.0,7.0,9.0,0.7777777777777778,0.6569865319865319
7,7.0,6.0,12.0,0.5,0.6345598845598845
8,8.0,7.0,10.0,0.7,0.6427398989898989
9,9.0,3.0,6.0,0.5,0.6268799102132435
10,10.0,4.0,7.0,0.5714285714285714,0.6213347763347763
11,11.0,5.0,9.0,0.5555555555555556,0.6153548471730289
12,12.0,5.0,9.0,0.5555555555555556,0.6103715728715727
13,13.0,7.0,13.0,0.5384615384615384,0.6048400317631086
14,14.0,9.0,11.0,0.8181818181818182,0.6200787307930165
